user_id,total_logins,total_sessions,total_page_views,total_purchases,total_events,active_days,inactive_days,average_events_per_active_day,days_since_last_activity,churn
USR_0001,205,342,815,128,1695,78,12,21.73,0.17,0
USR_0002,193,313,796,116,1611,79,11,20.39,1.0,0
USR_0003,174,284,745,128,1505,73,17,20.62,0.04,0
USR_0004,217,324,897,145,1800,82,8,21.95,0.01,0
USR_0005,203,313,832,132,1683,78,12,21.58,0.5,0
USR_0006,177,281,714,104,1453,77,13,18.87,0.26,0
USR_0007,184,294,765,123,1550,78,12,19.87,1.05,0
USR_0008,203,352,884,111,1753,76,14,23.07,0.59,0
USR_0009,189,270,824,103,1575,73,17,21.58,0.29,0
USR_0010,209,345,909,134,1806,81,9,22.3,0.02,0
USR_0011,191,336,802,141,1661,75,15,22.15,0.08,0
USR_0012,206,330,891,127,1760,78,12,22.56,0.24,0
USR_0013,180,288,749,121,1518,72,18,21.08,0.11,0
USR_0014,200,368,862,125,1755,78,12,22.5,1.32,0
USR_0015,190,300,807,113,1600,80,10,20.0,0.05,0
USR_0016,200,327,861,139,1727,75,15,23.03,0.06,0
USR_0017,197,331,842,126,1693,78,12,21.71,0.24,0
USR_0018,212,343,876,134,1777,83,7,21.41,0.02,0
USR_0019,195,341,821,131,1683,75,15,22.44,0.28,0
USR_0020,204,307,848,143,1706,81,9,21.06,2.14,0
USR_0021,170,309,669,114,1432,76,14,18.84,0.23,0
USR_0022,174,277,753,126,1504,74,16,20.32,0.1,0
USR_0023,199,303,851,144,1696,77,13,22.03,0.01,0
USR_0024,215,368,953,153,1904,79,11,24.1,0.29,0
USR_0025,176,288,765,107,1512,74,16,20.43,1.53,0
USR_0026,154,236,646,113,1303,70,20,18.61,0.03,0
USR_0027,193,327,794,107,1614,78,12,20.69,0.42,0
USR_0028,209,349,882,151,1800,80,10,22.5,0.53,0
USR_0029,172,281,681,121,1427,73,17,19.55,0.44,0
USR_0030,197,314,813,130,1651,77,13,21.44,1.21,0
USR_0031,182,289,811,103,1567,71,19,22.07,0.03,0
USR_0032,191,270,835,117,1604,70,20,22.91,0.45,0
USR_0033,185,326,746,111,1553,74,16,20.99,0.2,0
USR_0034,205,337,873,128,1748,82,8,21.32,0.07,0
USR_0035,216,355,905,134,1826,78,12,23.41,0.25,0
USR_0036,188,299,759,116,1550,77,13,20.13,0.33,0
USR_0037,188,294,793,133,1596,79,11,20.2,0.07,0
USR_0038,196,300,799,132,1623,76,14,21.36,0.04,0
USR_0039,183,288,765,111,1530,75,15,20.4,0.24,0
USR_0040,179,301,738,113,1510,74,16,20.41,0.3,0
USR_0041,179,292,733,109,1492,74,16,20.16,0.06,0
USR_0042,186,278,752,121,1523,78,12,19.53,1.42,0
USR_0043,213,348,943,126,1843,77,13,23.94,0.03,0
USR_0044,181,308,799,116,1585,70,20,22.64,0.11,0
USR_0045,187,303,788,115,1580,71,19,22.25,2.29,0
USR_0046,210,317,906,158,1801,79,11,22.8,0.36,0
USR_0047,212,382,839,127,1772,82,8,21.61,0.01,0
USR_0048,178,317,723,111,1507,77,13,19.57,0.34,0
USR_0049,183,298,801,125,1590,74,16,21.49,0.03,0
USR_0050,182,299,811,116,1590,72,18,22.08,0.17,0
USR_0051,168,284,694,120,1434,71,19,20.2,0.3,0
USR_0052,198,280,817,130,1623,79,11,20.54,0.13,0
USR_0053,187,327,810,111,1622,75,15,21.63,1.05,0
USR_0054,187,280,757,114,1525,77,13,19.81,0.01,0
USR_0055,191,321,832,130,1665,78,12,21.35,1.09,0
